dataset_name,downscaling_factor,yarin_gal_uci_split_indices,max_dataset_size,standardize,select_timesteps,temporal_downscaling_factor,validation_ratio,model,uncertainty_quantification,report_every,seed,distributed_training,backbone,batch_size,batch_accumulation,eval_batch_size,n_epochs,early_stopping,init,learning_rate,warmup_lr,lr_schedule,optimizer,gradient_clipping,alpha,n_samples_uq,weight_decay,n_val_samples,data_loader_pin_memory,dropout,hidden_dim,n_layers,n_timesteps,beta_endpoints,distributional_method,loss,closed_form,concat_condition_diffusion,evaluate,val_only,x_T_sampling_method,conditional_free_guidance_training,ddim_churn,noise_schedule,regressor,tau,n_ndp_heads,n_components,gamma,rank,mvnormal_method,n_train_samples,loss_lambda,noise_dim,metrics_plots,filename_to_validate,t_training,MSEValidation,RMSEValidation,EnergyScoreValidation,CRPSValidation,Gaussian NLLValidation,C95Validation,C90Validation,C75Validation,C50Validation,MSETest,RMSETest,EnergyScoreTest,CRPSTest,Gaussian NLLTest,C95Test,C90Test,C75Test,C50Test,experiment,source_file,method,run_id,dataset,NumberParameters,t_training_avg,t_training_med,t_training_std,MSETrain,RMSETrain,EnergyScoreTrain,CRPSTrain,Gaussian NLLTrain,C95Train,C90Train,C75Train,C50Train,CoverageTrain,QICETrain,CoverageTest,QICETest
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,1,False,default,128,1,1024,5000,150,default,0.0005,0,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",deterministic,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,0.001,10,False,"['results/Burgers/deterministic/Datetime_20250901_152520_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250901_204129_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_003326_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_050745_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_080406_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt']",-1,2e-07,0.0004555,0.0029948,0.0001192,-7.3323827,0.1988889,0.1122222,0.0077778,0.0,3e-07,0.0005457,0.00302,0.0001145,-7.3312182,0.194,0.1,0.01,0.0,Burgers,Burgers/deterministic/test.csv,deterministic,1,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,2,False,default,128,1,1024,5000,150,default,0.0005,0,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",deterministic,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,0.001,10,False,"['results/Burgers/deterministic/Datetime_20250901_152520_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250901_204129_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_003326_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_050745_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_080406_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt']",-1,1.7e-06,0.0013008,0.0047956,0.0001718,-6.9522743,0.1544444,0.0844444,0.0133333,0.0,1e-06,0.0010077,0.0048135,0.0001824,-6.9276795,0.154,0.076,0.01,0.0,Burgers,Burgers/deterministic/test.csv,deterministic,2,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,3,False,default,128,1,1024,5000,150,default,0.0005,0,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",deterministic,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,0.001,10,False,"['results/Burgers/deterministic/Datetime_20250901_152520_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250901_204129_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_003326_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_050745_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_080406_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt']",-1,1e-06,0.0010115,0.0040273,0.0001469,-7.1831651,0.17,0.0677778,0.0011111,0.0,2.5e-06,0.0015694,0.0045498,0.0001586,-7.1634431,0.172,0.082,0.004,0.0,Burgers,Burgers/deterministic/test.csv,deterministic,3,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,4,False,default,128,1,1024,5000,150,default,0.0005,0,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",deterministic,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,0.001,10,False,"['results/Burgers/deterministic/Datetime_20250901_152520_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250901_204129_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_003326_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_050745_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_080406_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt']",-1,4e-07,0.0006185,0.0043175,0.0001649,-6.9331107,0.1288889,0.0688889,0.0144444,0.0,5e-07,0.0007042,0.0045255,0.000174,-6.9175034,0.138,0.078,0.019,0.0,Burgers,Burgers/deterministic/test.csv,deterministic,4,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,5,False,default,128,1,1024,5000,150,default,0.0005,0,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",deterministic,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,0.001,10,False,"['results/Burgers/deterministic/Datetime_20250901_152520_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250901_204129_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_003326_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_050745_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt', 'results/Burgers/deterministic/Datetime_20250902_080406_Loss_1D_Burgers_UNet_diffusion_deterministic_T50_DDIM1.pt']",-1,1.5e-06,0.001244,0.004141,0.0001489,-7.1479177,0.1344444,0.0533333,0.0033333,0.0,9e-07,0.0009321,0.0043707,0.0001568,-7.122395,0.151,0.062,0.0,0.0,Burgers,Burgers/deterministic/test.csv,deterministic,5,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,1,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",iDDPM,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,1e-07,10,False,"['results/Burgers/iddpm/Datetime_20251210_105805_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_145313_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_190949_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_233016_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251211_030444_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt']",-1,3e-07,0.0005888,0.0036967,0.0001371,-7.236403,0.1177778,0.0411111,0.0055556,0.0,3e-07,0.0005805,0.0036108,0.0001298,-7.232213,0.113,0.047,0.008,0.0,Burgers,Burgers/iddpm/test.csv,iDDPM,1,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,2,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",iDDPM,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,1e-07,10,False,"['results/Burgers/iddpm/Datetime_20251210_105805_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_145313_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_190949_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_233016_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251211_030444_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt']",-1,7e-07,0.0008264,0.0036726,0.000126,-7.3087425,0.0977778,0.0355556,0.0022222,0.0,5e-07,0.0006718,0.0037482,0.0001365,-7.2617254,0.082,0.026,0.001,0.0,Burgers,Burgers/iddpm/test.csv,iDDPM,2,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,3,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",iDDPM,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,1e-07,10,False,"['results/Burgers/iddpm/Datetime_20251210_105805_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_145313_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_190949_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_233016_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251211_030444_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt']",-1,5e-07,0.0007343,0.0039837,0.000136,-7.2673979,0.1555556,0.0722222,0.0044444,0.0,1.6e-06,0.0012457,0.00465,0.0001479,-7.2566452,0.141,0.059,0.012,0.0,Burgers,Burgers/iddpm/test.csv,iDDPM,3,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,4,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",iDDPM,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,1e-07,10,False,"['results/Burgers/iddpm/Datetime_20251210_105805_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_145313_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_190949_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_233016_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251211_030444_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt']",-1,4e-07,0.0006228,0.0062332,0.0001632,-7.1080194,0.1544444,0.0744444,0.0044444,0.0,6e-07,0.0007613,0.0061705,0.0001693,-7.1012468,0.156,0.082,0.009,0.0,Burgers,Burgers/iddpm/test.csv,iDDPM,4,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,5,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.35)",iDDPM,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5.0,10,lora,10,1e-07,10,False,"['results/Burgers/iddpm/Datetime_20251210_105805_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_145313_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_190949_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251210_233016_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt', 'results/Burgers/iddpm/Datetime_20251211_030444_Loss_1D_Burgers_UNet_diffusion_iDDPM_T50_DDIM1.pt']",-1,1.3e-06,0.0011566,0.0057575,0.0001528,-7.2125907,0.1166667,0.0533333,0.0066667,0.0,8e-07,0.0008937,0.0052242,0.0001555,-7.183322,0.101,0.036,0.004,0.0,Burgers,Burgers/iddpm/test.csv,iDDPM,5,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,1,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mixednormal,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,2,5.0,10,lora,10,0.001,10,False,"['results/Burgers/mixednormal/Datetime_20250829_032152_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_063841_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_104059_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_161856_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_214146_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt']",-1,4e-07,0.0006486,0.0043581,0.0001604,-6.7215919,0.9455556,0.9022222,0.7544445,0.2022222,5e-07,0.000717,0.0043152,0.0001507,-6.7345381,0.966,0.932,0.79,0.234,Burgers,Burgers/mixednormal/test.csv,mixednormal,1,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,2,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mixednormal,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,2,5.0,10,lora,10,0.001,10,False,"['results/Burgers/mixednormal/Datetime_20250829_032152_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_063841_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_104059_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_161856_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_214146_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt']",-1,8e-07,0.0009006,0.003862,0.0001246,-6.9532142,0.9622222,0.9388889,0.8044445,0.2877778,4e-07,0.0006428,0.003888,0.000133,-6.9254293,0.9630001,0.932,0.785,0.284,Burgers,Burgers/mixednormal/test.csv,mixednormal,2,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,3,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mixednormal,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,2,5.0,10,lora,10,0.001,10,False,"['results/Burgers/mixednormal/Datetime_20250829_032152_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_063841_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_104059_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_161856_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_214146_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt']",-1,4e-07,0.0006605,0.002903,9.83e-05,-7.1723952,0.9744444,0.9511111,0.8711112,0.4755556,1.5e-06,0.0012124,0.0034379,0.0001064,-7.167851,0.969,0.9480001,0.853,0.449,Burgers,Burgers/mixednormal/test.csv,mixednormal,3,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,4,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mixednormal,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,2,5.0,10,lora,10,0.001,10,False,"['results/Burgers/mixednormal/Datetime_20250829_032152_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_063841_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_104059_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_161856_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_214146_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt']",-1,2e-07,0.000434,0.003237,0.000108,-7.1823773,0.9611111,0.9144444,0.6166667,0.0133333,3e-07,0.000535,0.0034213,0.0001142,-7.1792302,0.9590001,0.913,0.6,0.007,Burgers,Burgers/mixednormal/test.csv,mixednormal,4,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,5,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mixednormal,crps,False,True,True,False,standard,False,1.0,linear,,1.0,4,2,5.0,10,lora,10,0.001,10,False,"['results/Burgers/mixednormal/Datetime_20250829_032152_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_063841_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_104059_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_161856_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt', 'results/Burgers/mixednormal/Datetime_20250829_214146_Loss_1D_Burgers_UNet_diffusion_mixednormal_T50_DDIM1.pt']",-1,9e-07,0.0009312,0.003792,0.0001243,-6.9646735,0.97,0.94,0.8088889,0.2444444,9e-07,0.0009234,0.0040377,0.0001286,-6.9521842,0.9630001,0.936,0.79,0.196,Burgers,Burgers/mixednormal/test.csv,mixednormal,5,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,1,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mvnormal,kernel,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5,1,lora,10,0.001,10,False,"['results/Burgers/mvnormal/Datetime_20250830_022256_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_081904_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_125843_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_185511_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_235258_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt']",-1,2e-07,0.0004468,0.0059079,0.0002251,-6.140636,0.8611111,0.8044445,0.6688889,0.3922222,3e-07,0.0005297,0.0058751,0.0002183,-6.1489997,0.8650001,0.802,0.643,0.394,Burgers,Burgers/mvnormal/test.csv,mvnormal,1,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,2,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mvnormal,kernel,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5,1,lora,10,0.001,10,False,"['results/Burgers/mvnormal/Datetime_20250830_022256_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_081904_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_125843_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_185511_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_235258_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt']",-1,4e-07,0.0006392,0.0064994,0.0002558,-6.1162086,0.7722222,0.6822222,0.4433334,0.1544444,5e-07,0.0007317,0.006761,0.0002705,-6.0846043,0.762,0.675,0.449,0.175,Burgers,Burgers/mvnormal/test.csv,mvnormal,2,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,3,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mvnormal,kernel,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5,1,lora,10,0.001,10,False,"['results/Burgers/mvnormal/Datetime_20250830_022256_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_081904_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_125843_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_185511_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_235258_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt']",-1,2e-07,0.000499,0.0059515,0.0002304,-6.0901761,0.8477778,0.79,0.6366667,0.37,1e-06,0.0010235,0.0063967,0.0002368,-6.1196437,0.839,0.7830001,0.613,0.323,Burgers,Burgers/mvnormal/test.csv,mvnormal,3,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,4,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mvnormal,kernel,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5,1,lora,10,0.001,10,False,"['results/Burgers/mvnormal/Datetime_20250830_022256_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_081904_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_125843_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_185511_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_235258_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt']",-1,2e-07,0.0004315,0.0062067,0.000244,-6.0530062,0.8111112,0.7255556,0.5477778,0.2422222,3e-07,0.0005293,0.0063651,0.0002493,-6.0528641,0.804,0.7360001,0.587,0.24,Burgers,Burgers/mvnormal/test.csv,mvnormal,4,1D_Burgers,,,,,,,,,,,,,,,,,
1D_Burgers,4,0,1000,True,random,2,0.0,UNet,diffusion,25,5,False,default,128,1,1024,5000,150,default,0.0005,100,step,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"(0.001, 0.2)",mvnormal,kernel,False,True,True,False,standard,False,1.0,linear,,1.0,4,10,5,1,lora,10,0.001,10,False,"['results/Burgers/mvnormal/Datetime_20250830_022256_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_081904_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_125843_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_185511_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt', 'results/Burgers/mvnormal/Datetime_20250830_235258_Loss_1D_Burgers_UNet_diffusion_mvnormal_T50_DDIM1.pt']",-1,2e-07,0.0004588,0.0060265,0.0002335,-6.098639,0.8311111,0.77,0.5944445,0.2166667,5e-07,0.0006758,0.0063735,0.0002388,-6.1142817,0.809,0.73,0.569,0.22,Burgers,Burgers/mvnormal/test.csv,mvnormal,5,1D_Burgers,,,,,,,,,,,,,,,,,
